document_info.title,document_info.abstract_preview,term_analysis.bmi_adiposity.present,term_analysis.bmi_adiposity.locations,term_analysis.bmi_adiposity.variations_found,term_analysis.bmi_adiposity.is_main_exposure,term_analysis.mendelian_randomisation.present,term_analysis.mendelian_randomisation.locations,term_analysis.mendelian_randomisation.variations_found,term_analysis.mendelian_randomisation.is_main_method,term_analysis.blood_pressure.present,term_analysis.blood_pressure.locations,term_analysis.blood_pressure.variations_found,term_analysis.blood_pressure.is_main_outcome,term_analysis.european_ancestry.present,term_analysis.european_ancestry.locations,term_analysis.european_ancestry.variations_found,term_analysis.european_ancestry.is_ancestry_European,term_analysis.reviews.present,term_analysis.reviews.locations,term_analysis.reviews.variations_found,Reason.justify
"Trans-biobank analysis with 676,000 individuals elucidates the association of polygenic risk scores of complex traits with human lifespan",While polygenic risk scores (PRSs) are poised to b...,True,['abstract'],"['obesity PRS', 'BMI']",True,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['systolic blood pressure PRS'],True,True,['abstract'],['European'],True,False,[],[],"BMI and obesity PRS, Mendelian randomization, systolic blood pressure PRS, European; No review terms found."
Age- and sex-specific causal effects of adiposity on cardiovascular risk factors,Observational studies have reported different effe...,True,"['title', 'abstract']","['adiposity', 'BMI']",True,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['blood pressure'],True,False,[],[],False,False,[],[],"adiposity, BMI, Mendelian randomization, blood pressure"
"Letter by Gill Regarding Article, ""White Blood Cells and Blood Pressure: A Mendelian Randomization Study""",N/A...,False,[],[],False,True,['title'],['Mendelian Randomization'],True,True,['title'],['Blood Pressure'],True,False,[],[],False,False,[],[],"Mendelian Randomization and Blood Pressure are present in the title. No terms related to BMI/adiposity, European ancestry, or review types found."
"Relationship between alcohol use, blood pressure and hypertension: an association study and a Mendelian randomisation study",BACKGROUND: Past studies have found a strong relat...,False,[],[],False,True,"['title', 'abstract']",['Mendelian randomisation'],True,True,"['title', 'abstract']","['blood pressure', 'hypertension', 'systolic blood pressure', 'diastolic blood pressure']",True,False,[],[],False,False,[],[],"Mendelian randomisation, blood pressure, hypertension, systolic blood pressure, diastolic blood pressure present in title and abstract. BMI/adiposity, European ancestry, and review terms are missing."
Mendelian randomization estimates of alanine aminotransferase with cardiovascular disease: Guangzhou Biobank Cohort study,Observational studies of the association of alanin...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization']",True,True,['abstract'],['systolic and diastolic blood pressure'],False,False,[],[],False,False,[],[],"Mendelian randomization present in title and abstract, body mass index and systolic and diastolic blood pressure present in abstract, no European ancestry or review terms found."
Impact of risk factors for major cardiovascular diseases: a comparison of life-time observational and Mendelian randomisation findings,BACKGROUND: This study compared the strength and c...,True,['abstract'],['Body mass index'],True,True,"['title', 'abstract']",['Mendelian randomisation'],True,True,['abstract'],['systolic blood pressure'],True,True,['abstract'],['Uppsala Longitudinal Study of Adult Men'],True,False,[],[],"Mendelian randomisation, Body mass index, systolic blood pressure, Uppsala Longitudinal Study of Adult Men"
"Variation in Normal Range Thyroid Function Affects Serum Cholesterol Levels, Blood Pressure, and Type 2 Diabetes Risk: A Mendelian Randomization Study",Background: Observational studies have demonstrate...,True,['abstract'],['body mass index [BMI]'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization (MR)']",True,True,"['title', 'abstract']",['Blood Pressure'],True,False,[],[],False,False,[],[],"BMI mentioned as 'body mass index [BMI]' in abstract but not as main exposure. Mendelian randomisation mentioned as 'Mendelian Randomization' in title and 'Mendelian randomization (MR)' in abstract, used as main method. Blood pressure mentioned as 'Blood Pressure' in title and abstract, studied as main outcome. No European ancestry or review terms found."
Identification of Circulating Proteins Associated With Blood Pressure Using Mendelian Randomization,BACKGROUND: Hypertension is a common modifiable ri...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'MR']",True,True,"['title', 'abstract']","['blood pressure', 'systolic blood pressure', 'diastolic blood pressure', 'pulse pressure']",True,True,['abstract'],['UK Biobank'],True,False,[],[],"BMI (body mass index) mentioned as an outcome, not exposure; Mendelian Randomization (MR) used as main method; Blood pressure terms (blood pressure, systolic blood pressure, diastolic blood pressure, pulse pressure) as main outcome; UK Biobank indicates European ancestry; No review terms found."
"A UGT1A1 variant is associated with serum total bilirubin levels, which are causal for hypertension in African-ancestry individuals",Serum bilirubin is associated with several clinica...,True,['abstract'],['body mass index'],False,True,['abstract'],['Mendelian randomization'],True,True,"['title', 'abstract']",['hypertension'],True,False,[],[],False,False,[],[],BMI mentioned as 'body mass index' in abstract but not as main exposure; Mendelian randomization mentioned in abstract and is main method; Hypertension mentioned in both title and abstract and is main outcome; No European ancestry or country terms found; No review terms found.
"The relationships of sex hormone-binding globulin, total testosterone, androstenedione and free testosterone with metabolic and reproductive features of polycystic ovary syndrome",OBJECTIVE: A recent Mendelian randomization study ...,True,['abstract'],['BMI'],False,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['systolic and diastolic blood pressure'],False,False,[],[],False,False,[],[],"BMI, Mendelian randomization, systolic and diastolic blood pressure present in abstract. No European ancestry or review terms found."
Serum uric acid levels and cardiovascular disease: the Gordian knot,Hyperuricemia is defined as serum uric acid level ...,False,[],[],False,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['hypertension'],False,False,[],[],False,False,[],[],"Mendelian randomization present in abstract, hypertension present in abstract but not as main outcome, no BMI/adiposity terms, no European ancestry or country terms, no review terms."
Causal effects of body mass index on cardiometabolic traits and events: a Mendelian randomization analysis,Elevated body mass index (BMI) associates with car...,True,"['title', 'abstract']","['body mass index', 'BMI']",True,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['systolic blood pressure'],True,True,['abstract'],['European-descent'],True,False,[],[],"All terms present: body mass index, BMI, Mendelian randomization, systolic blood pressure, European-descent. No review terms found."
Uric Acid and Cardiovascular Events: A Mendelian Randomization Study,Obesity and diets rich in uric acid-raising compon...,True,['abstract'],['Obesity'],False,True,"['title', 'abstract']",['Mendelian Randomization'],True,True,['abstract'],['hypertension'],False,False,[],[],False,False,[],[],"Obesity found in abstract but not as main exposure, Mendelian Randomization found in both title and abstract as main method, hypertension found in abstract but not as main outcome, no European ancestry or review terms found."
Association of Cardiovascular Risk Factors and Lifestyle Behaviors With Hypertension: A Mendelian Randomization Study,Hypertension is a major risk factor for cardiovasc...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,True,"['title', 'abstract']",['Hypertension'],True,True,['abstract'],"['European-descent', 'European cohorts']",True,False,[],[],"All terms except review terms are present in the title and abstract. The terms 'body mass index', 'Mendelian Randomization', 'Hypertension', and 'European-descent', 'European cohorts' are explicitly mentioned. Review terms are missing."
Mendelian randomisation in type 2 diabetes and coronary artery disease,"Type 2 diabetes, coronary artery disease and hyper...",True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian randomisation', 'MR']",True,True,['abstract'],['hypertension'],True,False,[],[],False,False,[],[],"The terms 'body mass index', 'Mendelian randomisation', 'MR', and 'hypertension' are present in the title and abstract. No European ancestry or country terms and no review terms found."
Mendelian randomization study of B-type natriuretic peptide and type 2 diabetes: evidence of causal association from population studies,BACKGROUND: Genetic and epidemiological evidence s...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],"['systolic blood pressure', 'history of hypertension']",False,False,[],[],False,False,[],[],"Mendelian randomization, body mass index, systolic blood pressure, history of hypertension"
Insulin Response to Oral Glucose and Cardiometabolic Disease: A Mendelian Randomization Study to Assess Potential Causality,Mendelian randomization (MR) suggests that postpra...,True,['abstract'],['BMI'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization (MR)']",True,True,['abstract'],['hypertension (HTN)'],False,True,['abstract'],['people of European descent'],True,False,[],[],"BMI, Mendelian Randomization, Mendelian randomization (MR), hypertension (HTN), people of European descent"
On the Use of the Lasso for Instrumental Variables Estimation with Some Invalid Instruments,We investigate the behavior of the Lasso for selec...,True,['abstract'],['body mass index (BMI)'],True,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['diastolic blood pressure'],True,True,['abstract'],['UK Biobank'],True,False,[],[],"The abstract mentions 'body mass index (BMI)', 'Mendelian randomization', 'diastolic blood pressure', and 'UK Biobank'. No review terms found."
Conventional and Bidirectional Genetic Evidence on Resting Heart Rate and Cardiometabolic Traits,CONTEXT: Observational studies have suggested that...,True,['abstract'],['body mass index'],True,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],"['systolic blood pressure', 'diastolic blood pressure']",True,True,['abstract'],['UK Biobank'],True,False,[],[],"Terms present: body mass index, Mendelian randomization, systolic blood pressure, diastolic blood pressure, UK Biobank. Terms missing: review terms."
Causal relationships between obesity and the leading causes of death in women and men,Obesity traits are causally implicated with risk o...,True,['abstract'],['body mass index (BMI)'],True,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['blood pressure traits'],False,True,['abstract'],['UK Biobank'],True,False,[],[],"The abstract contains 'body mass index (BMI)', 'Mendelian randomization', 'blood pressure traits', and 'UK Biobank'. No review terms found."
C-reactive protein and its role in metabolic syndrome: mendelian randomisation study,BACKGROUND: Circulating C-reactive protein (CRP) i...,True,['abstract'],['body-mass index (BMI)'],False,True,"['title', 'abstract']","['mendelian randomisation', 'mendelian randomised']",True,True,['abstract'],['systolic blood pressure'],False,True,['abstract'],['British'],True,False,[],[],"BMI, mendelian randomisation, systolic blood pressure, British present in the abstract; mendelian randomisation also in the title; no review terms found."
Common quantitative trait locus downstream of RETN gene identified by genome-wide association study is associated with risk of type 2 diabetes mellitus in Han Chinese: a Mendelian randomization effect,OBJECTIVE: Plasma resistin level is a potential mo...,False,[],[],False,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['hypertensive'],False,False,[],[],False,False,[],[],"Mendelian randomization present in title and abstract, hypertensive in abstract, no BMI/adiposity terms, no European ancestry terms, no review terms."
Effect of Systolic Blood Pressure on Left Ventricular Structure and Function: A Mendelian Randomization Study,We aimed to estimate the effects of a lifelong exp...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,True,"['title', 'abstract']","['systolic blood pressure', 'SBP']",True,True,['abstract'],['UK Biobank'],True,False,[],[],"BMI mentioned as exclusion criteria, not as main exposure; Mendelian randomization used as main method; SBP studied as main outcome; UK Biobank indicates European ancestry; no review terms found."
"Searching for the causal effects of body mass index in over 300 000 participants in UK Biobank, using Mendelian randomization",Mendelian randomization (MR) has been used to esti...,True,"['title', 'abstract']","['body mass index', 'BMI']",True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization (MR)']",True,True,['abstract'],['hypertension'],False,True,"['title', 'abstract']",['UK Biobank'],True,False,[],[],All terms related to BMI and Mendelian randomisation are present in both the title and abstract. Hypertension is mentioned in the abstract but not as the main outcome. UK Biobank indicates European ancestry. No review terms found.
Phenome-wide Mendelian-randomization study of genetically determined vitamin D on multiple health outcomes using the UK Biobank study,BACKGROUND: Vitamin D deficiency is highly prevale...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian-randomization', 'Mendelian Randomization']",True,True,['abstract'],"['systolic blood pressure', 'diastolic blood pressure', 'risk of hypertension']",True,True,['abstract'],['White British'],True,True,['abstract'],"['systematic literature review', 'umbrella reviews']","All terms are present in the title and abstract: body mass index, Mendelian-randomization, Mendelian Randomization, systolic blood pressure, diastolic blood pressure, risk of hypertension, White British, systematic literature review, umbrella reviews."
Association of serum HDL-cholesterol and apolipoprotein A1 levels with risk of severe SARS-CoV-2 infection,Individuals with features of metabolic syndrome ar...,True,['abstract'],['obesity'],False,True,['abstract'],['Mendelian randomization'],False,True,['abstract'],['hypertension'],False,False,[],[],False,False,[],[],"Obesity, hypertension, Mendelian randomization are present in the abstract. No European ancestry or review terms found."
Excess comorbidities in gout: the causal paradigm and pleiotropic approaches to care,Gout is a common hyperuricaemic metabolic conditio...,True,['abstract'],['adiposity'],False,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['hypertension'],False,False,[],[],False,False,[],[],"adiposity, Mendelian randomization, hypertension, No European ancestry or country terms found, No review terms found"
Genetic Evidence for Causal Relationships Between Maternal Obesity-Related Traits and Birth Weight,IMPORTANCE: Neonates born to overweight or obese w...,True,"['title', 'abstract']","['maternal body mass index (BMI)', 'maternal BMI']",True,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['systolic blood pressure (SBP)'],False,True,['abstract'],['European ancestry'],True,False,[],[],"Terms found: maternal body mass index (BMI), maternal BMI, Mendelian randomization, systolic blood pressure (SBP), European ancestry. Missing terms: review terms."
Understanding the consequences of education inequality on cardiovascular disease: mendelian randomisation study,OBJECTIVES: To investigate the role of body mass i...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']",['mendelian randomisation'],True,True,['abstract'],['systolic blood pressure'],True,True,['abstract'],['European ancestry'],True,False,[],[],"The terms 'mendelian randomisation', 'body mass index (BMI)', 'systolic blood pressure', and 'European ancestry' are present in the title and abstract. No review terms found."
"Associations of Visceral Adipose Tissue, Circulating Protein Biomarkers, and Risk of Cardiovascular Diseases: A Mendelian Randomization Analysis",Aim: To evaluate the genetic associations of visce...,True,"['title', 'abstract']",['Visceral Adipose Tissue'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,False,[],[],False,False,[],[],False,False,[],[],"Visceral Adipose Tissue, Mendelian Randomization, Mendelian randomization"
Evaluation of the causal effects between subjective wellbeing and cardiometabolic health: mendelian randomisation study,OBJECTIVES: To investigate whether the association...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']",['mendelian randomisation'],True,True,['abstract'],['diastolic and systolic blood pressure'],True,True,['abstract'],"['European ancestry', 'United Kingdom']",True,False,[],[],"All terms are present in the abstract except for review terms, which are missing."
Mendelian randomization in family data,"The phrase ""mendelian randomization"" has become as...",True,['abstract'],['body mass index'],True,True,"['title', 'abstract']",['mendelian randomization'],True,True,['abstract'],['systolic blood pressure'],True,False,[],[],False,False,[],[],"Mendelian randomization, body mass index, systolic blood pressure present; no European ancestry or review terms found."
Plasma Circulating Vitamin C Levels and Risk of Endometrial Cancer: A Bi-Directional Mendelian Randomization Analysis,Background: Observational studies indicated that c...,True,['abstract'],['body mass index (BMI)'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,True,['abstract'],['hypertension'],False,False,[],[],False,False,[],[],"The terms 'Mendelian Randomization' and 'Mendelian randomization' are present in both the title and abstract, indicating it as the main method. 'body mass index (BMI)' is mentioned in the abstract but not as the main exposure. 'hypertension' is mentioned in the abstract but not as the main outcome. No European ancestry or review terms found."
Distinct causal effects of body fat distribution on cardiometabolic traits among children: Findings from the BCAMS study,BACKGROUND AND AIMS: Observational studies reveal ...,True,['abstract'],"['body mass index (BMI)', 'adipose obesity']",True,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],"['systolic blood pressure (SBP)', 'diastolic blood pressure (DBP)']",True,False,[],[],False,False,[],[],BMI and adiposity terms are present and studied as main exposures; Mendelian randomisation is present and the main method; Blood pressure terms are present and the main outcome; No European ancestry or review terms found.
"Remnant cholesterol, low-density lipoprotein cholesterol, and blood pressure as mediators from obesity to ischemic heart disease",RATIONALE: Obesity leads to increased ischemic hea...,True,['abstract'],['body mass index'],True,True,['abstract'],['Mendelian randomization'],True,True,"['title', 'abstract']","['blood pressure', 'systolic blood pressure']",True,True,['abstract'],['Copenhagen'],True,False,[],[],All terms required were found in the abstract except for review terms which are not present.
Exploring the causal pathway from ischemic stroke to atrial fibrillation: a network Mendelian randomization study,BACKGROUND AND PURPOSE: Previous studies have foun...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']","['Mendelian randomization', 'network Mendelian randomization', 'Mendelian randomization']",True,True,['abstract'],"['systolic and diastolic blood pressure', 'systolic and diastolic blood pressure levels']",True,True,['abstract'],['white'],True,False,[],[],"Mendelian randomization, body mass index, systolic and diastolic blood pressure, white"
Lifetime body mass index and later atherosclerosis risk in young adults: examining causal links using Mendelian randomization in the Cardiovascular Risk in Young Finns study,AIMS: Mendelian randomization uses genetic variant...,True,"['title', 'abstract']","['lifetime body mass index', 'BMI']",True,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['lifetime systolic blood pressure'],False,True,['title'],['Finns'],True,False,[],[],"Terms present: lifetime body mass index, BMI, Mendelian randomization, lifetime systolic blood pressure, Finns. Terms missing: European ancestry terms in abstract, review terms."
Disease consequences of higher adiposity uncoupled from its adverse metabolic effects using Mendelian randomisation,Background: Some individuals living with obesity m...,True,"['title', 'abstract']",['higher adiposity'],True,True,"['title', 'abstract']","['Mendelian randomisation', 'MR']",True,True,['abstract'],['hypertension'],True,False,[],[],False,False,[],[],The terms 'higher adiposity' and 'Mendelian randomisation' are present in both the title and abstract. The term 'hypertension' is found in the abstract. No European ancestry or review terms are mentioned.
"Vitamin D, Cardiovascular Disease and Risk Factors",Observational studies have suggested a possible pr...,True,['abstract'],['obesity'],False,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['hypertension'],False,False,[],[],False,False,[],[],BMI/adiposity terms present: obesity; not main exposure. Mendelian randomisation present: Mendelian randomization; main method. Blood pressure terms present: hypertension; not main outcome. No European ancestry or country terms found. No review terms found.
Effects of the Timing of Sex-Steroid Exposure in Adolescence on Adult Health Outcomes,CONTEXT: Variation in pubertal timing is associate...,True,['abstract'],['body mass index'],True,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['blood pressure'],True,False,[],[],False,False,[],[],"Mendelian randomization, body mass index, blood pressure are present in the abstract. No European ancestry or review terms found."
Lipid and metabolic syndrome traits in coronary artery disease: a Mendelian randomization study,Mendelian randomization (MR) of lipid traits in CA...,True,['abstract'],['BMI'],True,True,"['title', 'abstract']","['Mendelian randomization', 'MR']",True,True,['abstract'],['systolic blood pressure'],False,False,[],[],False,False,[],[],"BMI, Mendelian randomization, MR, systolic blood pressure present in the abstract. No European ancestry or country terms found. No review terms found."
"Association of Smoking, Alcohol Consumption, Blood Pressure, Body Mass Index, and Glycemic Risk Factors With Age-Related Macular Degeneration: A Mendelian Randomization Study",IMPORTANCE: Advanced age-related macular degenerat...,True,"['title', 'abstract']",['Body Mass Index'],True,True,"['title', 'abstract']",['Mendelian Randomization'],True,True,"['title', 'abstract']","['blood pressure', 'systolic and diastolic blood pressure']",False,False,[],[],False,False,[],[],"Body Mass Index, Mendelian Randomization, blood pressure, systolic and diastolic blood pressure"
Relation of age-related cataract with obesity and obesity genes in an Asian population,Obesity shows an inconsistent association with cat...,True,['abstract'],['body mass index'],False,True,['abstract'],['mendelian randomization'],True,True,['abstract'],['hypertension'],False,False,[],[],False,False,[],[],"Terms present: body mass index, mendelian randomization, hypertension. Terms missing: European ancestry terms, review terms."
Genetically predicted testosterone and cardiovascular risk factors in men: a Mendelian randomization analysis in the Guangzhou Biobank Cohort Study,BACKGROUND: Observationally lower testosterone is ...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],"['systolic blood pressure', 'diastolic blood pressure']",False,False,[],[],False,False,[],[],"Mendelian randomization present in title and abstract, body mass index mentioned in abstract but not as main exposure, systolic and diastolic blood pressure mentioned in abstract but not as main outcome, no European ancestry or review terms found."
Robust inference of bi-directional causal relationships in presence of correlated pleiotropy with GWAS summary data,"To infer a causal relationship between two traits,...",True,['abstract'],['body mass index'],True,True,['abstract'],['reciprocal Mendelian randomization'],True,True,['abstract'],['diastolic blood pressure'],True,False,[],[],False,False,[],[],"The abstract mentions 'body mass index' as a bi-directional causal relationship with T2D, 'reciprocal Mendelian randomization' as a method, and 'diastolic blood pressure' in relation to stroke. No European ancestry terms or review terms are found."
Cardiometabolic traits mediating the effect of education on osteoarthritis risk: a Mendelian randomization study,OBJECTIVE: To investigate which cardiometabolic fa...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['systolic blood pressure (SBP)'],False,True,['abstract'],['UK Biobank'],True,False,[],[],"BMI as main exposure, Mendelian randomization as main method, systolic blood pressure not main outcome, UK Biobank indicates European ancestry, no review terms."
"Birth weight, childhood obesity and risk of hypertension: a Mendelian randomization study",PURPOSES: Observational studies indicate that birt...,True,['abstract'],['childhood body mass index'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,True,"['title', 'abstract']",['essential hypertension'],True,True,['abstract'],['UK Biobank'],True,False,[],[],"Mendelian randomization, essential hypertension, childhood body mass index, UK Biobank. No review terms found."
Shared genetic components between metabolic syndrome and schizophrenia: Genetic correlation using multipopulation data sets,AIM: The genetic relationship between schizophreni...,True,['abstract'],['body mass index'],True,True,['abstract'],['mendelian randomization'],True,True,['abstract'],['systolic blood pressure'],False,True,['abstract'],['European'],True,False,[],[],"The abstract mentions 'body mass index', 'mendelian randomization', 'systolic blood pressure', and 'European' directly. No review terms were found."
Factorial Mendelian randomization: using genetic variants to assess interactions,BACKGROUND: Factorial Mendelian randomization is t...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Factorial Mendelian randomization', 'factorial Mendelian randomization']",True,True,['abstract'],['systolic blood pressure'],True,True,['abstract'],['UK Biobank'],True,False,[],[],"The terms 'Factorial Mendelian randomization', 'factorial Mendelian randomization', 'body mass index', 'systolic blood pressure', and 'UK Biobank' are present. Missing terms include specific review types."
Is aldehyde dehydrogenase 2 a credible genetic instrument for alcohol use in Mendelian randomization analysis in Southern Chinese men?,BACKGROUND: Mendelian randomization studies provid...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['diastolic blood pressure'],False,False,[],[],False,False,[],[],"Mendelian randomization present in title and abstract, body mass index and diastolic blood pressure present in abstract, no European ancestry or review terms found."
"The role of obesity, type 2 diabetes, and metabolic factors in gout: A Mendelian randomization study",Background: Several epidemiological studies have r...,True,"['title', 'abstract']","['obesity', 'obesity measured by body mass index (BMI)']",True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization (MR)']",True,True,['abstract'],"['systolic blood pressure (SBP)', 'hypertension']",True,True,['abstract'],['mainly European ancestry'],True,False,[],[],"All terms present in the title and abstract: obesity, obesity measured by body mass index (BMI), Mendelian randomization, Mendelian randomization (MR), systolic blood pressure (SBP), hypertension, mainly European ancestry. No review terms found."
Does high C-reactive protein concentration increase atherosclerosis? The Whitehall II Study,"BACKGROUND: C-reactive protein (CRP), a marker of ...",False,[],[],False,True,['abstract'],['Mendelian randomization analysis'],True,False,[],[],False,True,['title'],['The Whitehall II Study'],True,False,[],[],"Mendelian randomization analysis present in abstract, no BMI/adiposity terms, no blood pressure terms, European ancestry indicated by 'The Whitehall II Study', no review terms."
Obesity and ischemic heart disease: defining the link,N/A...,True,['title'],['Obesity'],False,False,[],[],False,False,[],[],False,False,[],[],False,False,[],[],"Obesity is present in the title but not as main exposure; no Mendelian randomisation, blood pressure terms, European ancestry terms, or review terms found."
Lack of association between modifiable exposures and glioma risk: a Mendelian randomization analysis,BACKGROUND: The etiological basis of glioma is poo...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization (MR)']",True,True,['abstract'],['diastolic and systolic blood pressure'],False,False,[],[],False,False,[],[],"BMI as 'body mass index' is present and is the main exposure. Mendelian randomisation is present in both title and abstract as 'Mendelian randomization' and 'Mendelian randomization (MR)', and is the main method. Blood pressure terms 'diastolic and systolic blood pressure' are present but not the main outcome. No European ancestry or review terms found."
A two-sample Mendelian randomization analysis of modifiable risk factors and intracranial aneurysms,We aimed to investigate the causality between pote...,True,['abstract'],['body fat percentage'],True,True,"['title', 'abstract']","['Mendelian randomization', 'two-sample Mendelian randomization']",True,True,['abstract'],"['systolic blood pressure', 'hypertension']",True,False,[],[],False,False,[],[],"Body fat percentage, Mendelian randomization, two-sample Mendelian randomization, systolic blood pressure, hypertension are present. No European ancestry or country terms found. No review terms found."
Alcohol use and cardiometabolic risk in the UK Biobank: A Mendelian randomization study,Observational studies suggest alcohol use promotes...,True,['abstract'],['BMI'],False,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomisation']",True,True,['abstract'],['systolic blood pressure'],True,True,"['title', 'abstract']",['UK Biobank'],True,False,[],[],"BMI, Mendelian randomization, Mendelian randomisation, systolic blood pressure, UK Biobank"
Assessment of the Causal Effects of Obstructive Sleep Apnea on Atrial Fibrillation: A Mendelian Randomization Study,BACKGROUND: Obstructive sleep apnea (OSA) and atri...,True,['abstract'],['body mass index (BMI)'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,True,['abstract'],['hypertension'],False,True,['abstract'],['Finnish'],True,False,[],[],"BMI mentioned as covariate, not main exposure; Mendelian Randomization used as main method; hypertension mentioned, not main outcome; Finnish ancestry identified; no review terms found."
Validation of external and internal exposome of the findings associated to cerebral small vessel disease: A Mendelian randomization study,The exposome characterizes all environmental expos...,True,['abstract'],['Adiposity'],True,True,"['title', 'abstract']","['Mendelian randomization', 'mendelian randomization']",True,True,['abstract'],['hypertension'],True,False,[],[],False,False,[],[],"Adiposity, Mendelian randomization, mendelian randomization, hypertension, No European ancestry or country terms found, No review terms found"
"Causal Factors for Knee, Hip, and Hand Osteoarthritis: A Mendelian Randomization Study in the UK Biobank",OBJECTIVE: There is no curative treatment for oste...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization (MR)']",True,True,['abstract'],['systolic blood pressure (BP)'],True,True,['title'],['UK Biobank'],True,False,[],[],"BMI as main exposure, Mendelian randomisation as main method, systolic blood pressure as main outcome, UK Biobank indicating European ancestry, no review terms found."
Associations of Circulating Protein Levels With Lipid Fractions in the General Population,Objective - Revealing patterns of associations bet...,True,['abstract'],['body mass index'],True,True,['abstract'],['Mendelian randomization'],True,True,['abstract'],['systolic blood pressure'],False,True,['abstract'],['European'],True,False,[],[],"Terms found: body mass index, Mendelian randomization, systolic blood pressure, European. Missing terms: review terms."
Exploring the relationship between maternal iron status and offspring's blood pressure and adiposity: a Mendelian randomization study,BACKGROUND: Iron deficiency is the most common mic...,True,['abstract'],['body mass index (BMI)'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,True,"['title', 'abstract']","['blood pressure', 'BP', 'diastolic BP']",False,True,['abstract'],['UK'],True,False,[],[],"Mendelian randomization, body mass index (BMI), blood pressure, BP, diastolic BP, UK. Missing terms: systematic review, umbrella review, scoping review."
Genetically predicted 17beta-estradiol and cardiovascular risk factors in women: a Mendelian randomization analysis using young women in Hong Kong and older women in the Guangzhou Biobank Cohort Study,PURPOSE: The role of estrogen in cardiovascular he...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']",['Mendelian randomization'],True,True,['abstract'],['systolic and diastolic blood pressure'],True,False,[],[],False,False,[],[],"The terms 'body mass index', 'Mendelian randomization', and 'systolic and diastolic blood pressure' are present in the abstract. No European ancestry or country terms found. No review terms found."
Investigating the causal effect of fibroblast growth factor 23 on osteoporosis and cardiometabolic disorders: A Mendelian randomization study,Pathological excess of fibroblast growth factor 23...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization (MR) analysis']",True,True,['abstract'],['systolic and diastolic blood pressure'],False,False,[],[],False,False,[],[],"Mendelian randomization, body mass index, systolic and diastolic blood pressure are present in the abstract. No European ancestry or country terms found. No review terms found."
