,document_info.title,document_info.abstract_preview,term_analysis.bmi_adiposity.present,term_analysis.bmi_adiposity.locations,term_analysis.bmi_adiposity.variations_found,term_analysis.bmi_adiposity.is_main_exposure,term_analysis.mendelian_randomisation.present,term_analysis.mendelian_randomisation.locations,term_analysis.mendelian_randomisation.variations_found,term_analysis.blood_pressure.present,term_analysis.blood_pressure.locations,term_analysis.blood_pressure.variations_found,term_analysis.blood_pressure.is_main_outcome,term_analysis.european_ancestry.present,term_analysis.european_ancestry.locations,term_analysis.european_ancestry.variations_found,score.value,score.breakdown.bmi_adiposity,score.breakdown.mendelian_randomisation,score.breakdown.blood_pressure_terms,score.breakdown.european_ancestry,score.justification,score.breakdown.blood pressure terms,score.breakdown.blood_pressure terms,SCORE
52,"Coffee intake and risk of obesity, metabolic syndrome and type 2 diabetes: a Mendelian randomization study",BACKGROUND: Coffee is one of the most widely consu...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['systolic/diastolic blood pressure'],False,False,[],[],-3,-1,1,-1.0,-2,"BMI/adiposity is present but not as the main exposure, resulting in -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present but not as the main outcome, resulting in -1 points. European ancestry is absent, resulting in -2 points.",,,-69
53,Identifying shared genetic loci between coronavirus disease 2019 and cardiovascular diseases based on cross-trait meta-analysis,People with coronavirus disease 2019 (COVID-19) ha...,True,['abstract'],['OBE'],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],['hypertension'],True,False,[],[],-1,-1,1,1.0,-2,"BMI/adiposity (OBE) is present but not as a main exposure, leading to -1 points. Mendelian randomization is present, adding 1 point. Blood pressure terms are present as the main outcome, adding 1 point. European ancestry is absent, resulting in -2 points.",,,-9
54,Association of plasma uric acid with ischaemic heart disease and blood pressure: mendelian randomisation analysis of two large cohorts,OBJECTIVES: To assess the associations between bot...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['Mendelian randomisation'],True,"['title', 'abstract']","['blood pressure', 'diastolic and systolic blood pressure']",True,True,['abstract'],['Denmark'],0,-1,1,1.0,1,"BMI is present but not as the main exposure, it is used as a confounding factor. Mendelian randomisation is clearly mentioned in both the title and abstract. Blood pressure is studied as the main outcome. European ancestry is indicated by the mention of Denmark.",,,42
55,Association of vitamin D status with arterial blood pressure and hypertension risk: a mendelian randomisation study,BACKGROUND: Low plasma 25-hydroxyvitamin D (25[OH]...,False,[],[],False,True,"['title', 'abstract']",['mendelian randomisation'],True,"['title', 'abstract']","['arterial blood pressure', 'hypertension risk', 'blood pressure', 'systolic blood pressure', 'diastolic blood pressure']",True,False,[],[],-1,-2,1,,-2,"BMI/adiposity terms are absent, hence -2 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present and studied as the main outcome, adding 1 point. European ancestry is not mentioned, resulting in -2 points.",1.0,,-49
56,"Nonfasting glucose, ischemic heart disease, and myocardial infarction: a Mendelian randomization study",OBJECTIVES: The purpose of this study was to test ...,False,[],[],False,True,"['title', 'abstract']",['Mendelian randomization'],False,[],[],False,True,['abstract'],"['Copenhagen, Denmark']",-1,-2,1,-2.0,1,"BMI/adiposity is not mentioned, thus scoring -2. Mendelian randomisation is present in both title and abstract, scoring 1. Blood pressure terms are absent, scoring -2. European ancestry is indicated by mention of Copenhagen, Denmark, scoring 1.",,,-98
57,Genetically elevated levels of circulating triglycerides and brachial-ankle pulse wave velocity in a Chinese population,Elevated levels of circulating triglycerides and i...,True,['abstract'],['body mass index (BMI)'],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],"['systolic blood pressure', 'antihypertensive treatment']",False,False,[],[],-3,-1,1,,-2,"BMI is present but not as the main exposure, only as a covariate. Mendelian randomisation is present. Blood pressure terms are present but not as the main outcome, only as covariates. No European ancestry terms are present.",-1.0,,-69
58,"Causal Inference for Genetic Obesity, Cardiometabolic Profile and COVID-19 Susceptibility: A Mendelian Randomization Study",BACKGROUND: Cross-sectional observational studies ...,True,['abstract'],['body mass index [BMI]'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'One-sample MR', 'Two-sample MR']",True,['abstract'],['systolic blood pressure [SBP]'],False,True,['abstract'],['European'],0,1,1,-1.0,1,"BMI is studied as a main exposure for blood pressure, which is not the main outcome. Mendelian randomisation and European ancestry are present.",,,2
59,Epigenome-wide association study identifies DNA methylation sites associated with target organ damage in older African Americans,Target organ damage (TOD) manifests as vascular in...,True,['abstract'],['body mass index'],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],['blood pressure'],True,False,[],[],-1,-1,1,,-2,"BMI is present but not as a main exposure, only as an adjustment factor. Mendelian randomization is present and discussed in the context of causality. Blood pressure is the main outcome of the study. No European ancestry or related terms are mentioned.",1.0,,-9
60,"Trans-biobank analysis with 676,000 individuals elucidates the association of polygenic risk scores of complex traits with human lifespan",While polygenic risk scores (PRSs) are poised to b...,True,['abstract'],['BMI'],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],['systolic blood pressure'],True,True,['abstract'],['European'],0,-1,1,1.0,1,"BMI is present but not as a main exposure, reducing the score. Mendelian randomization is present, adding to the score. Blood pressure is studied as the main outcome, positively impacting the score. European ancestry is mentioned, contributing positively to the score.",,,42
61,Age- and sex-specific causal effects of adiposity on cardiovascular risk factors,Observational studies have reported different effe...,True,"['title', 'abstract']","['adiposity', 'BMI']",True,True,['abstract'],['Mendelian randomization'],True,['abstract'],['blood pressure'],True,False,[],[],0,1,1,1.0,-2,"BMI/adiposity is studied as the main exposure for blood pressure, which is the main outcome. Mendelian randomisation is present. No European ancestry terms found, impacting the score negatively.",,,11
62,"Letter by Gill Regarding Article, ""White Blood Cells and Blood Pressure: A Mendelian Randomization Study""",N/A...,False,[],[],False,True,['title'],['Mendelian Randomization'],True,['title'],['Blood Pressure'],True,False,[],[],-1,-2,1,,-2,BMI/adiposity is absent and not studied as an exposure. Mendelian randomisation is present. Blood pressure is present and studied as the main outcome. European ancestry is not mentioned.,1.0,,-49
63,"Relationship between alcohol use, blood pressure and hypertension: an association study and a Mendelian randomisation study",BACKGROUND: Past studies have found a strong relat...,False,[],[],False,True,"['title', 'abstract']",['Mendelian randomisation'],True,"['title', 'abstract']","['blood pressure', 'hypertension', 'systolic blood pressure', 'diastolic blood pressure']",True,False,[],[],-1,-2,1,1.0,-2,"BMI/adiposity is not mentioned, thus not a main exposure (-2). Mendelian randomisation is present (+1). Blood pressure terms are present and studied as main outcomes (+1). No mention of European ancestry or related terms (-2).",,,-49
64,Mendelian randomization estimates of alanine aminotransferase with cardiovascular disease: Guangzhou Biobank Cohort study,Observational studies of the association of alanin...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['systolic and diastolic blood pressure'],False,False,[],[],-2,-1,1,,-2,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and there is no mention of European ancestry.",-1.0,,-69
65,Impact of risk factors for major cardiovascular diseases: a comparison of life-time observational and Mendelian randomisation findings,BACKGROUND: This study compared the strength and c...,True,['abstract'],['Body mass index'],False,True,"['title', 'abstract']",['Mendelian randomisation'],True,['abstract'],['systolic blood pressure'],True,True,['abstract'],['Uppsala Longitudinal Study of Adult Men'],0,-1,1,1.0,1,"BMI is present but not as a main exposure, hence -1. Blood pressure terms are present as the main outcome, hence +1. Mendelian randomisation is present, hence +1. European ancestry is present, hence +1.",,,42
66,"Variation in Normal Range Thyroid Function Affects Serum Cholesterol Levels, Blood Pressure, and Type 2 Diabetes Risk: A Mendelian Randomization Study",Background: Observational studies have demonstrate...,True,['abstract'],['body mass index [BMI]'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,"['title', 'abstract']",['Blood Pressure'],True,False,[],[],-1,-1,1,1.0,-2,"BMI is present but not as a main exposure, reducing its score. Mendelian randomisation is clearly present in both title and abstract. Blood pressure is a main outcome, positively affecting the score. No European ancestry terms are found, negatively impacting the score.",,,-9
67,Identification of Circulating Proteins Associated With Blood Pressure Using Mendelian Randomization,BACKGROUND: Hypertension is a common modifiable ri...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,"['title', 'abstract']","['Blood Pressure', 'hypertension', 'systolic blood pressure', 'diastolic blood pressure', 'pulse pressure']",True,True,['abstract'],['UK Biobank'],0,-1,1,1.0,1,"BMI is mentioned in the abstract but not as the main exposure, thus -1. Blood pressure terms are the main outcome, thus +1. Mendelian randomisation is present in both title and abstract, thus +1. European ancestry is confirmed by mention of the UK Biobank, thus +1.",,,42
68,"A UGT1A1 variant is associated with serum total bilirubin levels, which are causal for hypertension in African-ancestry individuals",Serum bilirubin is associated with several clinica...,True,['abstract'],['body mass index'],False,True,['abstract'],['Mendelian randomization'],True,"['title', 'abstract']",['hypertension'],True,False,[],[],-1,-1,1,1.0,-2,"BMI/adiposity is present but not as the main exposure, leading to a -1 score. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present and studied as the main outcome, adding 1 point. European ancestry is absent, resulting in a -2 score.",,,-9
69,"The relationships of sex hormone-binding globulin, total testosterone, androstenedione and free testosterone with metabolic and reproductive features of polycystic ovary syndrome",OBJECTIVE: A recent Mendelian randomization study ...,True,['abstract'],['BMI'],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],['systolic and diastolic blood pressure'],False,False,[],[],-2,-1,1,-1.0,-2,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as a main outcome, and no European ancestry terms are found.",,,-69
70,Serum uric acid levels and cardiovascular disease: the Gordian knot,Hyperuricemia is defined as serum uric acid level ...,False,[],[],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],['hypertension'],False,False,[],[],-3,-2,1,,-2,"BMI/adiposity terms are absent, thus scoring -2. Mendelian randomisation is present but only in the abstract, scoring 1. Blood pressure terms are present but not as the main outcome, scoring -1. No European/white/caucasian ancestry terms are found, scoring -2.",,-1.0,-109
71,Causal effects of body mass index on cardiometabolic traits and events: a Mendelian randomization analysis,Elevated body mass index (BMI) associates with car...,True,"['title', 'abstract']","['body mass index', 'BMI']",True,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['systolic blood pressure'],True,True,['abstract'],['European-descent'],2,1,1,1.0,1,"BMI is studied as the main exposure affecting cardiometabolic traits, including blood pressure as an outcome. Mendelian randomization is used to explore these causal effects. The study includes European-descent individuals, confirming the presence of European ancestry.",,,62
72,Uric Acid and Cardiovascular Events: A Mendelian Randomization Study,Obesity and diets rich in uric acid-raising compon...,False,[],[],False,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['hypertension'],False,False,[],[],-3,-2,1,,-2,"BMI/adiposity is not mentioned, thus scoring -2. Mendelian randomisation is present in both title and abstract, scoring 1. Blood pressure term 'hypertension' is present but not as the main outcome, scoring -1. No European ancestry terms are mentioned, scoring -2.",-1.0,,-109
73,Association of Cardiovascular Risk Factors and Lifestyle Behaviors With Hypertension: A Mendelian Randomization Study,Hypertension is a major risk factor for cardiovasc...,True,['abstract'],['body mass index'],True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,"['title', 'abstract']",['Hypertension'],True,True,['abstract'],"['European-descent', 'European cohorts']",2,1,1,1.0,-1,"BMI is studied as a main exposure for hypertension, which is the main outcome. Mendelian randomisation is present in both title and abstract. European ancestry is mentioned, but the terms used ('European-descent', 'European cohorts') may not fully align with the requirement for 'European/white/caucasian population/ancestry'.",,,62
74,Mendelian randomisation in type 2 diabetes and coronary artery disease,"Type 2 diabetes, coronary artery disease and hyper...",True,['abstract'],['body mass index'],False,True,"['title', 'abstract']","['Mendelian randomisation', 'Mendelian randomisation (MR)']",True,['abstract'],['hypertension'],True,False,[],[],-1,-1,1,1.0,-2,"BMI/adiposity is present but not as the main exposure, thus -1. Mendelian randomisation is present, thus +1. Blood pressure terms are present and studied as the main outcome, thus +1. European ancestry is absent, thus -2. Total score calculated as -1.",,,-9
75,Mendelian randomization study of B-type natriuretic peptide and type 2 diabetes: evidence of causal association from population studies,BACKGROUND: Genetic and epidemiological evidence s...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],"['systolic blood pressure', 'history of hypertension']",False,False,[],[],-2,-1,1,,-2,"BMI/adiposity is present but not as the main exposure, leading to -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present but not as the main outcome, resulting in -1 points. European ancestry is absent, resulting in -2 points.",-1.0,,-69
76,Insulin Response to Oral Glucose and Cardiometabolic Disease: A Mendelian Randomization Study to Assess Potential Causality,Mendelian randomization (MR) suggests that postpra...,True,['abstract'],"['BMI', 'adiposity']",True,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization (MR)']",True,['abstract'],['hypertension (HTN)'],False,True,['abstract'],['people of European descent'],0,1,1,-1.0,1,BMI and adiposity are studied as main exposures to cardiometabolic diseases. Mendelian randomisation is present in both title and abstract. Blood pressure terms are present but not as the main outcome. European ancestry is explicitly mentioned.,,,2
77,On the Use of the Lasso for Instrumental Variables Estimation with Some Invalid Instruments,We investigate the behavior of the Lasso for selec...,True,['abstract'],['body mass index (BMI)'],True,True,['abstract'],['Mendelian randomization'],True,['abstract'],['diastolic blood pressure'],True,True,['abstract'],['UK Biobank'],2,1,1,1.0,-1,"BMI is studied as a main exposure for blood pressure, which is the main outcome. Mendelian randomisation is present. European ancestry is indicated by 'UK Biobank', but it is not explicitly mentioned as European or white ancestry, hence the deduction.",,,62
78,Conventional and Bidirectional Genetic Evidence on Resting Heart Rate and Cardiometabolic Traits,CONTEXT: Observational studies have suggested that...,True,['abstract'],['body mass index'],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],"['systolic blood pressure', 'diastolic blood pressure']",True,True,['abstract'],['UK Biobank'],0,-1,1,1.0,1,"BMI is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as the main outcome, scoring +1. European ancestry is indicated by 'UK Biobank', scoring +1.",,,42
79,Causal relationships between obesity and the leading causes of death in women and men,Obesity traits are causally implicated with risk o...,True,['abstract'],['body mass index (BMI)'],True,True,['abstract'],['Mendelian randomization'],True,['abstract'],['blood pressure traits'],False,True,['abstract'],['UK Biobank'],0,1,1,-1.0,1,BMI is studied as a main exposure variable using genetic risk scores as instrumental variables. Mendelian randomization is explicitly mentioned as the method used. Blood pressure is mentioned but not as the main outcome. The UK Biobank indicates a European population.,,,2
80,C-reactive protein and its role in metabolic syndrome: mendelian randomisation study,BACKGROUND: Circulating C-reactive protein (CRP) i...,True,['abstract'],['body-mass index (BMI)'],False,True,"['title', 'abstract']","['mendelian randomisation', 'mendelian randomised']",True,['abstract'],['systolic blood pressure'],False,True,['abstract'],['British'],-1,-1,1,-1.0,1,"BMI is present but not as the main exposure, hence -1. Blood pressure terms are present but not as the main outcome, hence -1. Mendelian randomisation is present, adding 1 point. European ancestry is mentioned (British), adding 1 point.",,,-18
81,Common quantitative trait locus downstream of RETN gene identified by genome-wide association study is associated with risk of type 2 diabetes mellitus in Han Chinese: a Mendelian randomization effect,OBJECTIVE: Plasma resistin level is a potential mo...,False,[],[],False,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['hypertensive'],,False,[],[],-3,-2,1,,-2,"BMI/adiposity is not mentioned, thus scoring -2. Mendelian randomisation is present in both title and abstract, scoring 1. Blood pressure terms are present but not as the main outcome, scoring -1. No European ancestry terms are mentioned, scoring -2.",-1.0,,-49
82,Effect of Systolic Blood Pressure on Left Ventricular Structure and Function: A Mendelian Randomization Study,We aimed to estimate the effects of a lifelong exp...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,"['title', 'abstract']","['Systolic Blood Pressure', 'high systolic blood pressure', 'SBP']",True,True,['abstract'],['UK Biobank'],0,-1,1,1.0,1,"BMI is present but not as the main exposure, thus -1. Mendelian randomisation is present, thus +1. Blood pressure terms are the main outcome, thus +1. European ancestry is indicated by 'UK Biobank', thus +1.",,,42
83,"Searching for the causal effects of body mass index in over 300 000 participants in UK Biobank, using Mendelian randomization",Mendelian randomization (MR) has been used to esti...,True,"['title', 'abstract']","['body mass index', 'BMI']",True,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization (MR)']",True,['abstract'],['hypertension'],False,True,"['title', 'abstract']",['UK Biobank'],0,1,1,,1,"BMI is studied as the main exposure variable, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and European ancestry is indicated by 'UK Biobank'.",-1.0,,2
84,Phenome-wide Mendelian-randomization study of genetically determined vitamin D on multiple health outcomes using the UK Biobank study,BACKGROUND: Vitamin D deficiency is highly prevale...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']","['Mendelian-randomization', 'Mendelian Randomization']",True,['abstract'],"['systolic blood pressure', 'diastolic blood pressure', 'risk of hypertension']",True,True,['abstract'],['White British'],0,-1,1,1.0,1,"BMI is present but not as a main exposure, reducing its score. Blood pressure terms are present as main outcomes, and Mendelian randomisation is clearly mentioned. European ancestry is confirmed with 'White British'.",,,42
85,Association of serum HDL-cholesterol and apolipoprotein A1 levels with risk of severe SARS-CoV-2 infection,Individuals with features of metabolic syndrome ar...,False,[],[],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],['hypertension'],False,True,['abstract'],['UK Biobank'],-1,-2,1,-1.0,1,"BMI/adiposity is not mentioned as an exposure or outcome, leading to a score of -2. Mendelian randomisation is present in the abstract, scoring +1. Blood pressure is mentioned but not as the main outcome, resulting in -1. European ancestry is indicated by 'UK Biobank', scoring +1.",,,-58
86,Excess comorbidities in gout: the causal paradigm and pleiotropic approaches to care,Gout is a common hyperuricaemic metabolic conditio...,True,['abstract'],['adiposity'],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],['hypertension'],False,False,[],[],-2,-1,1,-1.0,-2,"BMI/adiposity is mentioned but not as a main exposure, resulting in -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are mentioned but not as the main outcome, leading to -1 points. No European ancestry terms are found, resulting in -2 points.",,,-69
87,Genetic Evidence for Causal Relationships Between Maternal Obesity-Related Traits and Birth Weight,IMPORTANCE: Neonates born to overweight or obese w...,True,"['title', 'abstract']","['maternal body mass index (BMI)', 'maternal BMI', 'BMI']",True,True,['abstract'],['Mendelian randomization'],True,['abstract'],['systolic blood pressure (SBP)'],False,True,['abstract'],['European ancestry'],0,1,1,-1.0,1,"BMI is studied as a main exposure for blood pressure, which is not the main outcome. Mendelian randomisation and European ancestry are present, contributing positively to the score.",,,2
88,Understanding the consequences of education inequality on cardiovascular disease: mendelian randomisation study,OBJECTIVES: To investigate the role of body mass i...,True,['abstract'],['body mass index (BMI)'],False,True,"['title', 'abstract']",['mendelian randomisation'],True,['abstract'],['systolic blood pressure'],False,True,['abstract'],['European ancestry'],-1,-1,1,-1.0,1,"BMI is present but not as the main exposure, it is a mediator. Blood pressure is present but not as the main outcome, it is a mediator. Mendelian randomisation and European ancestry are both present.",,,-18
89,"Associations of Visceral Adipose Tissue, Circulating Protein Biomarkers, and Risk of Cardiovascular Diseases: A Mendelian Randomization Analysis",Aim: To evaluate the genetic associations of visce...,True,"['title', 'abstract']",['Visceral Adipose Tissue'],True,True,"['title', 'abstract']",['Mendelian Randomization'],True,['abstract'],['hypertensive heart disease'],False,True,['abstract'],['FinnGen'],0,1,1,-1.0,1,BMI/adiposity is studied as a main exposure variable. Mendelian randomisation is present. Blood pressure terms are present but not as the main outcome. European ancestry is indicated by the mention of the FinnGen study.,,,2
90,Evaluation of the causal effects between subjective wellbeing and cardiometabolic health: mendelian randomisation study,OBJECTIVES: To investigate whether the association...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['mendelian randomisation'],True,['abstract'],['diastolic and systolic blood pressure'],False,True,['abstract'],"['European ancestry', 'UK Biobank']",-1,-1,1,-1.0,1,"BMI is present but not as the main exposure, it is studied as an outcome. Blood pressure terms are present but not as the main outcome. Mendelian randomisation and European ancestry are both present.",,,-18
91,Mendelian randomization in family data,"The phrase ""mendelian randomization"" has become as...",True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['mendelian randomization'],True,['abstract'],['systolic blood pressure'],False,False,[],[],-2,-1,1,-1.0,-2,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as a main outcome, and no European ancestry terms are found.",,,-69
92,Plasma Circulating Vitamin C Levels and Risk of Endometrial Cancer: A Bi-Directional Mendelian Randomization Analysis,Background: Observational studies indicated that c...,True,['abstract'],['body mass index (BMI)'],False,True,"['title', 'abstract']","['Mendelian Randomization', 'Mendelian randomization']",True,['abstract'],['hypertension'],False,False,[],[],-3,-1,1,-1.0,-2,"BMI/adiposity is mentioned but not as the main exposure, hence -1. Blood pressure is mentioned but not as the main outcome, hence -1. Mendelian randomisation is present, hence +1. No European ancestry mentioned, hence -2.",,,-69
93,Distinct causal effects of body fat distribution on cardiometabolic traits among children: Findings from the BCAMS study,BACKGROUND AND AIMS: Observational studies reveal ...,True,['abstract'],"['body mass index (BMI)', 'adiposity']",True,True,['abstract'],['Mendelian randomization'],True,['abstract'],"['systolic blood pressure (SBP)', 'diastolic blood pressure (DBP)']",True,False,[],[],0,1,1,1.0,-2,"BMI/adiposity is studied as a main exposure to blood pressure outcomes, Mendelian randomisation is present, blood pressure terms are studied as main outcomes, and there is no mention of European ancestry.",,,11
94,"Remnant cholesterol, low-density lipoprotein cholesterol, and blood pressure as mediators from obesity to ischemic heart disease",RATIONALE: Obesity leads to increased ischemic hea...,True,['abstract'],['body mass index'],False,True,['abstract'],['Mendelian randomization'],True,"['title', 'abstract']","['blood pressure', 'systolic blood pressure']",False,True,['abstract'],['Copenhagen'],-1,-1,1,-1.0,1,"BMI is present but not as the main exposure, blood pressure terms are present but not as the main outcome, Mendelian randomisation and European ancestry are correctly identified.",,,-18
95,Exploring the causal pathway from ischemic stroke to atrial fibrillation: a network Mendelian randomization study,BACKGROUND AND PURPOSE: Previous studies have foun...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']","['Mendelian randomization', 'network Mendelian randomization']",True,['abstract'],"['systolic and diastolic blood pressure', 'systolic blood pressure', 'diastolic blood pressure']",True,True,['abstract'],['white'],0,-1,1,1.0,1,"BMI/adiposity is present but not as a main exposure, thus -1. Blood pressure terms are present and studied as the main outcome, thus +1. Mendelian randomisation is present, thus +1. European ancestry is mentioned, thus +1. Total score is calculated as the sum of these values.",,,42
96,Lifetime body mass index and later atherosclerosis risk in young adults: examining causal links using Mendelian randomization in the Cardiovascular Risk in Young Finns study,AIMS: Mendelian randomization uses genetic variant...,True,"['title', 'abstract']","['lifetime body mass index', 'BMI']",True,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['lifetime systolic blood pressure'],False,True,['title'],['Finns'],0,1,1,-1.0,1,"BMI is studied as a main exposure to blood pressure outcomes, Mendelian randomization is present, blood pressure terms are present but not as the main outcome, and European ancestry is indicated by 'Finns'.",,,2
97,Disease consequences of higher adiposity uncoupled from its adverse metabolic effects using Mendelian randomisation,Background: Some individuals living with obesity m...,True,"['title', 'abstract']","['higher adiposity', 'high body mass index']",True,True,"['title', 'abstract']",['Mendelian randomisation'],True,['abstract'],['hypertension'],True,False,[],[],0,1,1,1.0,-2,"BMI/adiposity is studied as a main exposure to diseases. Mendelian randomisation is present and used in the study. Blood pressure terms are present and studied as main outcomes. European ancestry is not mentioned, leading to a negative score in that category.",,,11
98,"Vitamin D, Cardiovascular Disease and Risk Factors",Observational studies have suggested a possible pr...,False,[],[],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],['hypertension'],True,False,[],[],-2,-2,1,1.0,-2,"BMI/adiposity terms are absent, thus scoring -2. Mendelian randomisation is present in the abstract, scoring 1. Blood pressure terms are present and studied as a main outcome, scoring 1. European ancestry is not mentioned, scoring -2.",,,-49
99,Effects of the Timing of Sex-Steroid Exposure in Adolescence on Adult Health Outcomes,CONTEXT: Variation in pubertal timing is associate...,True,['abstract'],['body mass index'],False,True,['abstract'],['Mendelian randomization'],True,['abstract'],['blood pressure'],False,False,[],[],-3,-1,1,,-2,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure is present but not as a main outcome, and European ancestry is absent.",,-1.0,-69
100,Lipid and metabolic syndrome traits in coronary artery disease: a Mendelian randomization study,Mendelian randomization (MR) of lipid traits in CA...,True,['abstract'],['BMI'],False,True,"['title', 'abstract']","['Mendelian randomization', 'Mendelian randomization (MR)']",True,['abstract'],['systolic blood pressure'],False,False,[],[],-3,-1,1,-1.0,-2,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and no European ancestry terms are found.",,,-69
101,"Association of Smoking, Alcohol Consumption, Blood Pressure, Body Mass Index, and Glycemic Risk Factors With Age-Related Macular Degeneration: A Mendelian Randomization Study",IMPORTANCE: Advanced age-related macular degenerat...,True,"['title', 'abstract']",['Body Mass Index'],True,True,"['title', 'abstract']",['Mendelian Randomization'],True,"['title', 'abstract']",['blood pressure'],False,False,[],[],-1,1,1,,-2,"BMI is a main exposure variable, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and no European ancestry terms are found.",,-1.0,-49
102,Relation of age-related cataract with obesity and obesity genes in an Asian population,Obesity shows an inconsistent association with cat...,True,['abstract'],['body mass index'],False,True,['abstract'],['mendelian randomization'],True,['abstract'],['hypertension'],False,False,[],[],-2,-1,1,-1.0,-2,"BMI is present but not as a main exposure, only as a covariate. Mendelian randomisation is present. Blood pressure is mentioned but not as the main outcome. No European ancestry terms are present.",,,-69
103,Genetically predicted testosterone and cardiovascular risk factors in men: a Mendelian randomization analysis in the Guangzhou Biobank Cohort Study,BACKGROUND: Observationally lower testosterone is ...,True,['abstract'],['body mass index'],False,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],"['systolic blood pressure', 'diastolic blood pressure']",False,False,[],[],-2,-1,1,-1.0,-2,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and there is no mention of European ancestry.",,,-69
104,Robust inference of bi-directional causal relationships in presence of correlated pleiotropy with GWAS summary data,"To infer a causal relationship between two traits,...",True,['abstract'],['body mass index'],False,True,['abstract'],"['Mendelian randomization', 'MR']",True,['abstract'],['diastolic blood pressure'],False,False,[],[],-2,-1,1,-1.0,-2,"BMI is mentioned but not as a main exposure, Mendelian randomisation is present, blood pressure is mentioned but not as a main outcome, and no European ancestry terms are found.",,,-69
105,Cardiometabolic traits mediating the effect of education on osteoarthritis risk: a Mendelian randomization study,OBJECTIVE: To investigate which cardiometabolic fa...,True,['abstract'],['body mass index (BMI)'],True,True,"['title', 'abstract']",['Mendelian randomization'],True,['abstract'],['systolic blood pressure (SBP)'],False,True,['abstract'],['UK Biobank'],0,1,1,-1.0,1,BMI is studied as a main exposure affecting osteoarthritis risk. Blood pressure is mentioned but not as a main outcome. Mendelian randomisation is clearly present in both title and abstract. European ancestry is indicated by the mention of UK Biobank.,,,2
106,"Birth weight, childhood obesity and risk of hypertension: a Mendelian randomization study",PURPOSES: Observational studies indicate that birt...,True,['abstract'],['childhood body mass index'],True,True,"['title', 'abstract']",['Mendelian randomization'],True,"['title', 'abstract']",['essential hypertension'],True,True,['abstract'],['UK Biobank'],2,1,1,1.0,-1,"Childhood body mass index is studied as a main exposure to essential hypertension, which is the main outcome. Mendelian randomisation is present in both title and abstract. European ancestry is indicated by mention of the UK Biobank, but it's not explicitly stated as European or white ancestry.",,,62
