title,score.value,decision,score.justification
Lipid and metabolic syndrome traits in coronary artery disease: a Mendelian randomization study,-1,Excluded,"BMI is mentioned in the abstract but not as the main exposure, leading to a -1 score. Mendelian randomisation is clearly present in both title and abstract, scoring +1. Blood pressure is mentioned as an outcome, scoring +1. No European ancestry terms are found, resulting in a -2 score."
"Association of Smoking, Alcohol Consumption, Blood Pressure, Body Mass Index, and Glycemic Risk Factors With Age-Related Macular Degeneration: A Mendelian Randomization Study",-2,Excluded,"BMI is present but not as the main exposure, it's studied alongside other factors for AMD risk. Mendelian randomisation is present in both title and abstract. Blood pressure terms are present but not as the main outcome, they are part of the exposures studied. No European ancestry terms are found."
Relation of age-related cataract with obesity and obesity genes in an Asian population,-2,Excluded,"BMI is present but not as the main exposure, only as a covariate. Mendelian randomisation is present. Blood pressure terms are present but not as the main outcome, only as a covariate. No European ancestry terms are present."
Genetically predicted testosterone and cardiovascular risk factors in men: a Mendelian randomization analysis in the Guangzhou Biobank Cohort Study,-1,Excluded,"BMI is mentioned in the abstract but not as the main exposure, only as a confounder. Mendelian randomisation is clearly present in both the title and abstract. Blood pressure terms are present and studied as outcomes. No European ancestry or related terms are mentioned."
Robust inference of bi-directional causal relationships in presence of correlated pleiotropy with GWAS summary data,-2,Excluded,"BMI is mentioned but not as a main exposure, Mendelian randomisation is present, diastolic blood pressure is mentioned as an outcome, and no European ancestry terms are found."
Cardiometabolic traits mediating the effect of education on osteoarthritis risk: a Mendelian randomization study,1,Excluded,"BMI is studied as a main exposure affecting OA risk, hence +1. Mendelian randomisation is present in both title and abstract, hence +1. Blood pressure terms are present but not as the main outcome, hence -1. European ancestry is indicated by the mention of UK Biobank, hence +1."
"Birth weight, childhood obesity and risk of hypertension: a Mendelian randomization study",2,Excluded,"BMI/adiposity is present as 'childhood body mass index' and is the main exposure for essential hypertension. Mendelian randomisation is clearly mentioned in both title and abstract. Blood pressure terms are present as 'essential hypertension' and are the main outcome. European ancestry is indicated by 'UK Biobank', but it does not explicitly confirm European/white/Caucasian ancestry."
Shared genetic components between metabolic syndrome and schizophrenia: Genetic correlation using multipopulation data sets,0,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as outcomes, scoring +1. European ancestry is mentioned, scoring +1."
Factorial Mendelian randomization: using genetic variants to assess interactions,2,Excluded,"BMI is studied as a main exposure for blood pressure, which is the main outcome. Mendelian randomisation is present in both title and abstract. Blood pressure terms are present and studied as an outcome. European ancestry is indicated by 'UK Biobank', but it does not explicitly confirm European/white/Caucasian ancestry."
Is aldehyde dehydrogenase 2 a credible genetic instrument for alcohol use in Mendelian randomization analysis in Southern Chinese men?,-2,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present as outcomes, and there is no mention of European ancestry."
"The role of obesity, type 2 diabetes, and metabolic factors in gout: A Mendelian randomization study",2,Excluded,"BMI is studied as a main exposure for blood pressure outcomes, Mendelian randomisation is present, blood pressure terms are studied as outcomes, and European ancestry is mentioned."
Does high C-reactive protein concentration increase atherosclerosis? The Whitehall II Study,-1,Excluded,"BMI/adiposity is not mentioned, thus scoring -2. Mendelian randomisation is present in the abstract, scoring +1. Blood pressure terms are absent, scoring -2. European ancestry is indicated by 'The Whitehall II Study', scoring +1."
Obesity and ischemic heart disease: defining the link,-6,Excluded,"No terms related to BMI/adiposity, Mendelian randomisation, blood pressure, or European ancestry were mentioned in the title or abstract. BMI/adiposity is not studied as an exposure, and blood pressure is not studied as an outcome. The abstract is not available, limiting further analysis."
Lack of association between modifiable exposures and glioma risk: a Mendelian randomization analysis,-2,Excluded,"BMI/adiposity is present but not as a main exposure, leading to -1 points. Blood pressure terms are present but not as the main outcome, leading to -1 points. Mendelian randomisation is present, adding 1 point. No European ancestry terms are found, resulting in -2 points."
A two-sample Mendelian randomization analysis of modifiable risk factors and intracranial aneurysms,-1,Excluded,"Body fat percentage is mentioned but not as a main exposure, Mendelian randomization is present, blood pressure terms are present as outcomes, and no European ancestry terms are mentioned."
Alcohol use and cardiometabolic risk in the UK Biobank: A Mendelian randomization study,-1,Excluded,"BMI is mentioned in the abstract but not as the main exposure, hence -1. Mendelian randomisation is present in both title and abstract, scoring +1. Systolic blood pressure is studied as an outcome, scoring +1. The UK Biobank indicates European ancestry, scoring +1."
Assessment of the Causal Effects of Obstructive Sleep Apnea on Atrial Fibrillation: A Mendelian Randomization Study,0,Excluded,"BMI is present but not as the main exposure, it is adjusted for in the multivariable MR. Mendelian randomisation is clearly present in both the title and abstract. Hypertension is mentioned as a factor adjusted for in the analysis, indicating its presence as an outcome. Finnish ancestry is explicitly mentioned, confirming European ancestry."
Validation of external and internal exposome of the findings associated to cerebral small vessel disease: A Mendelian randomization study,-2,Excluded,"Adiposity is mentioned in the abstract but not as a main exposure, hence -1. Mendelian randomisation is present in both title and abstract, scoring +1. Hypertension is mentioned as an outcome in the abstract, scoring +1. No European ancestry terms are present, resulting in -2."
"Causal Factors for Knee, Hip, and Hand Osteoarthritis: A Mendelian Randomization Study in the UK Biobank",2,Excluded,"BMI is studied as a main exposure for osteoarthritis, Mendelian randomization is present, blood pressure is studied as an outcome, and European ancestry is indicated by 'UK Biobank' but not explicitly mentioned as European or Caucasian."
Associations of Circulating Protein Levels With Lipid Fractions in the General Population,0,Excluded,"BMI is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present but not as the main outcome, scoring +1. European ancestry is mentioned, scoring +1. Total score calculated as 0."
Exploring the relationship between maternal iron status and offspring's blood pressure and adiposity: a Mendelian randomization study,0,Excluded,"BMI/adiposity terms are present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as an outcome, scoring +1. European ancestry is indicated by the mention of the UK Women's Cohort Study, scoring +1."
Genetically predicted 17beta-estradiol and cardiovascular risk factors in women: a Mendelian randomization analysis using young women in Hong Kong and older women in the Guangzhou Biobank Cohort Study,-2,Excluded,"BMI is present but not as the main exposure, Mendelian randomisation is present, blood pressure terms are present as outcomes, and there is no mention of European ancestry."
Investigating the causal effect of fibroblast growth factor 23 on osteoporosis and cardiometabolic disorders: A Mendelian randomization study,-2,Excluded,"BMI is present but not as a main exposure, only adjusted in multivariable analysis. Mendelian randomisation is clearly mentioned. Blood pressure terms are mentioned but not as the main outcome. No European ancestry terms are present."
"Molecular sources of residual cardiovascular risk, clinical signals, and innovative solutions: relationship with subclinical disease, undertreatment, and poor adherence: implications of new evidence upon optimizing cardiovascular patient outcomes",-1,Excluded,BMI/adiposity is mentioned as 'body weight' but not as a main exposure. Mendelian randomisation is present. Blood pressure is mentioned as 'hypertension' and is a main outcome. No European ancestry terms are found.
Cardiometabolic Polygenic Risk Scores and Osteoarthritis Outcomes: A Mendelian Randomization Study Using Data From the Malmo Diet and Cancer Study and the UK Biobank,2,Excluded,BMI is studied as a main exposure for osteoarthritis outcomes. Mendelian randomisation is present in both title and abstract. Blood pressure is mentioned but not as the main outcome. European ancestry is indicated by mentions of the UK Biobank and Malmo Diet and Cancer Study.
Association of cannabis use disorder with cardiovascular diseases: A two-sample Mendelian randomization study,-1,Excluded,"BMI is present but not as a main exposure, only as a mediator. Mendelian randomisation is present in both title and abstract. Hypertension is mentioned as a mediator, not as a main outcome. No European ancestry terms are mentioned."
Timing of Pubertal Development and Midlife Blood Pressure in Men and Women: A Mendelian Randomization Study,0,Excluded,"BMI is present but not as the main exposure, it is adjusted for in multivariable MR. Mendelian randomisation is clearly present in both title and abstract. Blood pressure terms are present and studied as main outcomes. European ancestry is indicated by the mention of the UK Biobank."
Effect of Cheese Intake on Cardiovascular Diseases and Cardiovascular Biomarkers,-1,Excluded,"BMI is present but not as a main exposure, thus -1. Mendelian randomisation is present, thus +1. Blood pressure terms are present as main outcome, thus +1. European ancestry is absent, thus -2."
Genetic evidence for a causal relationship between type 2 diabetes and peripheral artery disease in both Europeans and East Asians,0,Excluded,"BMI/adiposity is present but not as a main exposure, leading to -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present but not as the main outcome, scoring -1. European ancestry is mentioned, scoring +1."
Mendelian randomization analysis does not support causal associations of birth weight with hypertension risk and blood pressure in adulthood,-1,Excluded,"BMI/adiposity terms are absent, thus not studied as an exposure. Mendelian randomisation is present and discussed in both the title and abstract. Blood pressure terms are present and studied as outcomes. European ancestry is indicated by the mention of the UK Biobank."
"Genome-Wide Association Analysis of Over 170,000 Individuals from the UK Biobank Identifies Seven Loci Associated with Dietary Approaches to Stop Hypertension (DASH) Diet",0,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as the main outcome, scoring +1. European ancestry is present, scoring +1."
A multi-population phenome-wide association study of genetically-predicted height in the Million Veteran Program,0,Excluded,"BMI/adiposity is present but not as a main exposure, thus -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as outcomes, scoring +1. European ancestry is mentioned, scoring +1. Total score is 0."
The association between cardiovascular risk factors and major cardiovascular diseases decreases with increasing frailty levels in geriatric outpatients,-2,Excluded,"BMI/adiposity terms are absent, not studied as an exposure. Mendelian randomisation is mentioned in the abstract. Hypertension is present as a term but not as the main outcome. No European ancestry terms are mentioned."
Genetic Determinants of Body Mass Index and Fasting Glucose Are Mediators of Grade 1 Diastolic Dysfunction,2,Excluded,"BMI is studied as a main exposure for G1DD risk, Mendelian randomisation is present, hypertension is studied as an outcome, and European ancestry is mentioned."
Cardiovascular risk factors and lifestyle behaviours in relation to longevity: a Mendelian randomization study,-1,Excluded,"BMI is present but not as the main exposure, Mendelian randomisation is present, blood pressure terms are present as outcomes, and no European ancestry terms are found."
Mendelian Randomization Analyses Suggest Childhood Body Size Indirectly Influences End Points From Across the Cardiovascular Disease Spectrum Through Adult Body Size,0,Excluded,"BMI/adiposity is present and is the main exposure affecting cardiovascular disease outcomes indirectly through adult body size. Mendelian randomisation is present in both the title and abstract. Hypertension, a blood pressure term, is mentioned as an outcome in the abstract. No European ancestry terms are present."
Maternal Hypertension Increases Risk of Preeclampsia and Low Fetal Birthweight: Genetic Evidence From a Mendelian Randomization Study,2,Excluded,"BMI is studied as a main exposure for blood pressure outcomes. Mendelian randomisation is present in both title and abstract. Blood pressure terms are present as outcomes. European ancestry is mentioned, but not as a primary focus."
"MR-PheWAS: hypothesis prioritization among potential causal effects of body mass index on many outcomes, using Mendelian randomization",0,Excluded,"BMI is studied as the main exposure variable for various outcomes, including blood pressure, which is considered as an outcome. Mendelian randomization is present and used in the analysis. No European ancestry terms are mentioned, resulting in a negative score for that category."
Causal Effects of Overall and Abdominal Obesity on Insulin Resistance and the Risk of Type 2 Diabetes Mellitus: A Two-Sample Mendelian Randomization Study,0,Excluded,"BMI/adiposity is studied as the main exposure for insulin resistance and T2DM risk. Mendelian randomisation is present and used in the study. Blood pressure terms are present but only as covariates, not main outcomes. No European ancestry terms are mentioned."
Trans-ethnic Mendelian-randomization study reveals causal relationships between cardiometabolic factors and chronic kidney disease,2,Excluded,"BMI is studied as a main exposure for CKD, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and European ancestry is mentioned but not exclusively focused."
Appraising the Effect of Potential Risk Factors on Thyroid Cancer: A Mendelian Randomization Study,0,Excluded,"BMI/adiposity is present but not as the main exposure, thus -1. Mendelian randomisation is present, thus +1. Blood pressure is studied as an outcome, thus +1. European ancestry is present, thus +1. Total score calculated as 0."
Blood pressure and risk of cancer: a Mendelian randomization study,-1,Excluded,"BMI is present but not as the main exposure, only adjusted for in the analysis. Mendelian randomisation, blood pressure terms, and European ancestry are all present and correctly identified."
"Roles of Cardiometabolic Factors in Mediating the Causal Effect of Type 2 Diabetes on Cardiovascular Diseases: A Two-Step, Two-Sample Multivariable Mendelian Randomization Study",-1,Excluded,"BMI/adiposity is present but not as the main exposure, leading to -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present but not as the main outcome, resulting in -1 points. European ancestry is absent, leading to -2 points."
Accelerated MRI-predicted brain ageing and its associations with cardiometabolic and brain disorders,-1,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is absent, blood pressure terms are present as outcomes, and European ancestry is indicated by 'UK Biobank'."
Association between alcohol and cardiovascular disease: Mendelian randomisation analysis based on individual participant data,0,Excluded,"BMI is present but not as a main exposure, hence -1. Mendelian randomisation is present, hence +1. Blood pressure is studied as an outcome, hence +1. European ancestry is present, hence +1. Total score calculated as 0."
The Association of Obstructive Sleep Apnea With Breast Cancer Incidence and Mortality: A Systematic Review and Meta-analysis,-1,Excluded,"BMI/adiposity is mentioned as 'obesity' but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure term 'hypertension' is mentioned but not as the main outcome, scoring -1. No European ancestry terms are present, scoring -2."
Causal associations of tobacco smoking with cardiovascular risk factors: a Mendelian randomization analysis of the HUNT Study in Norway,0,Excluded,"BMI is present but not as a main exposure, reducing its score. Mendelian randomisation and European ancestry are positively scored as they are present and relevant. Blood pressure terms are present and scored positively as they are studied as outcomes."
"Blood Eosinophil Count and Metabolic, Cardiac and Pulmonary Outcomes: A Mendelian Randomization Study",-1,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are absent, scoring -2. European ancestry is present, scoring +1."
Risk of lower respiratory tract infections: a genome-wide association study with Mendelian randomization analysis in three independent European populations,2,Excluded,"BMI is studied as a main exposure for blood pressure, which is an outcome. Mendelian randomisation is present. European ancestry is mentioned but not as a main focus."
Associations of genetically predicted IL-6 signaling with cardiovascular disease risk across population subgroups,0,Excluded,"BMI is mentioned but not as a main exposure variable, hence -1. Mendelian randomization is present, scoring +1. Blood pressure terms are mentioned but not as the main outcome, scoring -1. European ancestry is present, scoring +1."
Genetically predicted higher educational attainment decreases the risk of stroke: a multivariable Mendelian randomization study,0,Excluded,"BMI is present but not as a main exposure, hence -1. Mendelian randomisation is clearly present, scoring +1. Blood pressure terms are present as outcomes, scoring +1. European ancestry is mentioned, scoring +1."
Genetically determined intelligence and coronary artery disease risk,0,Excluded,"BMI is present but not as the main exposure, it's a risk factor being studied. Mendelian randomization is explicitly mentioned as a method. Hypertension is listed among risk factors, indicating it's studied as an outcome. The term 'UK Biobank' suggests European ancestry but is not explicit about being solely European or white; however, it is generally associated with a UK-based, predominantly European population."
"Relative Deprivation, Income Inequality, and Cardiovascular Health: Observational and Mendelian Randomization Studies in Hong Kong Chinese",-2,Excluded,"BMI/adiposity is present but not as the main exposure, thus -1. Mendelian randomisation is present, thus +1. Blood pressure terms are present as outcomes, thus +1. No European ancestry terms are present, thus -2."
Does greater adiposity increase blood pressure and hypertension risk?: Mendelian randomization using the FTO/MC4R genotype,2,Excluded,"BMI/adiposity is studied as the main exposure for blood pressure outcomes, Mendelian randomisation is present, blood pressure terms are studied as outcomes, and European ancestry is mentioned but not directly as 'European' or 'Caucasian', hence the deduction."
Genome-wide association and Mendelian randomisation analysis provide insights into the pathogenesis of heart failure,0,Excluded,"BMI is studied as a main exposure for blood pressure, which is the main outcome. Mendelian randomisation is present in both title and abstract. Hypertension is mentioned as a blood pressure term. No European ancestry terms are found."
Association between bilirubin and cardiovascular disease risk factors: using Mendelian randomization to assess causal inference,-2,Excluded,"BMI/adiposity is present but not as the main exposure, resulting in -1 points. Mendelian randomisation is present, adding 1 point. Blood pressure terms are present as outcomes, adding 1 point. No European ancestry terms are present, resulting in -2 points."
Association between adiposity and cardiovascular outcomes: an umbrella review and meta-analysis of observational and Mendelian randomization studies,2,Excluded,"BMI/adiposity is studied as the main exposure to cardiovascular outcomes. Mendelian randomisation is present and used to assess causality. Blood pressure terms are present and studied as outcomes. European ancestry is mentioned, but only in the context of the publishing society, not the study population."
Cognitive ability and physical health: a Mendelian randomization study,0,Excluded,"BMI is present but not as the main exposure, hence -1. Mendelian randomisation is present, hence +1. Blood pressure terms are present as an outcome, hence +1. European ancestry is indicated by 'UK Biobank', hence +1."
Genetic determinants of daytime napping and effects on cardiometabolic health,0,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as main outcome, scoring +1. European ancestry is indicated by 'UK Biobank', scoring +1."
"Avoiding dynastic, assortative mating, and population stratification biases in Mendelian randomization through within-family analyses",2,Excluded,"BMI is studied as a main exposure affecting blood pressure, which is considered as an outcome. Mendelian randomization is present in both title and abstract. European ancestry is indicated by 'UK Biobank', but it's not clear if the study focuses primarily on European ancestry, hence a negative score for this category."
From the Editor,-6,Excluded,"No terms related to BMI/adiposity, Mendelian randomisation, blood pressure, or European ancestry were found in the title or abstract. BMI/adiposity is not present, thus not the main exposure. Blood pressure terms are absent, thus not the main outcome. Mendelian randomisation and European ancestry are also absent."
Multiple genetic variants explain measurable variance in type 2 diabetes-related traits in Pakistanis,0,Excluded,"BMI is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as outcomes, scoring +1. European ancestry is mentioned, scoring +1."
Genetically Predicted Obesity Causally Increased the Risk of Hypertension Disorders in Pregnancy,2,Excluded,"BMI/adiposity (obesity) is the main exposure studied for its causal effect on blood pressure (hypertension disorders), which is the main outcome. Mendelian randomisation is present and used to establish causality. European ancestry is indicated by the mention of the FinnGen consortium, but it's not clear if the study exclusively involves European ancestry, thus scoring negatively for insufficient clarity."
"Adult height, coronary heart disease and stroke: a multi-locus Mendelian randomization meta-analysis",-2,Excluded,"BMI is present but not as a main exposure, only as a covariate. Mendelian randomisation is present in both title and abstract. Blood pressure term is present but not as the main outcome. European ancestry is absent."
Correcting the Standard Errors of 2-Stage Residual Inclusion Estimators for Mendelian Randomization Studies,-4,Excluded,"BMI/adiposity is not mentioned, thus not a main exposure. Mendelian randomisation is present in both title and abstract. No blood pressure terms or European ancestry terms are mentioned."
Novel loci for childhood body mass index and shared heritability with adult cardiometabolic traits,-3,Excluded,"BMI/adiposity terms are present but not as the main exposure, hence -1. Mendelian randomisation is absent, scoring -1. Diastolic blood pressure is present as an outcome, scoring +1. No European ancestry terms are found, resulting in -2."
Comprehensive Investigation of Circulating Biomarkers and Their Causal Role in Atherosclerosis-Related Risk Factors and Clinical Events,0,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Blood pressure terms are present and studied as outcomes, scoring +1. Mendelian randomisation is present, scoring +1. European ancestry is indicated by 'UK Biobank', scoring +1."
Epigenetic loci for blood pressure are associated with hypertensive target organ damage in older African Americans from the genetic epidemiology network of Arteriopathy (GENOA) study,-2,Excluded,"BMI is present but not as a main exposure, only adjusted for in the analysis. Mendelian randomization is present in the abstract. Blood pressure terms are present and studied as main outcomes. European ancestry is not mentioned."
Mendelian Randomization Study of Obesity and Cerebrovascular Disease,-1,Excluded,"BMI is present but not as the main exposure, it is studied as a covariate. Mendelian randomisation is clearly mentioned in both title and abstract. Blood pressure terms are present and studied as a mediator, not the main outcome. No mention of European ancestry or related terms."
Detecting and correcting for bias in Mendelian randomization analyses using Gene-by-Environment interactions,2,Excluded,"BMI is studied as a main exposure for blood pressure, which is the main outcome. Mendelian randomisation is present in both title and abstract. Blood pressure is correctly identified as the main outcome. European ancestry is indicated by 'UK Biobank' but does not explicitly mention European ancestry, hence the deduction."
Comorbidities in gout and hyperuricemia: causality or epiphenomena?,0,Excluded,"BMI is mentioned as having a causal effect on serum urate, thus considered as the main exposure. Mendelian randomization is present in the abstract. Hypertension is mentioned but not as the main outcome, hence the negative score. No European ancestry terms are found."
Body mass index and body composition in relation to 14 cardiovascular conditions in UK Biobank: a Mendelian randomization study,2,Excluded,"BMI/adiposity is studied as the main exposure for cardiovascular conditions, Mendelian randomisation is present, blood pressure terms are present as outcomes, but European ancestry is only indirectly mentioned through 'UK Biobank' which does not explicitly confirm European/white/Caucasian ancestry."
Vitamin D and heart failure: A two-sample mendelian randomization study,-2,Excluded,"BMI is present but not as the main exposure variable, only as a covariate in multivariable MR. Mendelian randomisation is clearly mentioned in both the title and abstract. Hypertension is mentioned as a covariate in the study, not as the main outcome. No European or white ancestry terms are mentioned."
Association of genetically predicted blood sucrose with coronary heart disease and its risk factors in Mendelian randomization,-2,Excluded,"Adiposity is mentioned but not as a main exposure, hence -1. Mendelian randomization is present in both title and abstract, scoring +1. Blood pressure is mentioned as a risk factor, scoring +1. No mention of European ancestry, scoring -2."
A genetic risk score for fasting plasma glucose is independently associated with arterial stiffness: a Mendelian randomization study,0,Excluded,"BMI/adiposity is present but not as a main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present but not as the main outcome, scoring -1. European ancestry is indicated by the mention of Sweden, scoring +1."
Nonalcoholic fatty liver disease or metabolic dysfunction-associated fatty liver disease diagnoses and cardiovascular diseases: From epidemiology to drug approaches,0,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as an outcome, scoring +1. European ancestry is mentioned, scoring +1."
Alcohol consumption and cognitive impairment in older men: a mendelian randomization study,-1,Excluded,"BMI is present but not as a main exposure, reducing its score. Mendelian randomisation is present in both title and abstract. Blood pressure term 'hypertension' is present as an outcome. No European ancestry terms are found, leading to a negative score for that category."
Risk factors for type 2 diabetes mellitus: An exposure-wide umbrella review of meta-analyses,-2,Excluded,"Adiposity is mentioned but not as a main exposure, Mendelian randomisation is present, high systolic blood pressure is mentioned as a risk factor, and no European ancestry terms are found."
"Cardiometabolic, Lifestyle, and Nutritional Factors in Relation to Varicose Veins: A Mendelian Randomization Study",2,Excluded,"BMI is studied as a main exposure for varicose veins, Mendelian randomisation is present, blood pressure terms are present but not as the main outcome, and European ancestry is mentioned but not as a primary focus."
Type 2 diabetes mellitus increases risk of erectile dysfunction independent of obesity and dyslipidemia: A Mendelian randomization study,0,Excluded,"BMI is present but not as the main exposure, it's studied in relation to ED, not as a predictor of blood pressure. Mendelian randomisation is clearly present in both title and abstract. Blood pressure terms are present but not as the main outcome; they are studied alongside other factors for their effect on ED. European ancestry is explicitly mentioned."
Influence of puberty timing on adiposity and cardiometabolic traits: A Mendelian randomisation study,1,Excluded,"BMI/adiposity is studied as the main exposure in relation to blood pressure outcomes. Mendelian randomisation is clearly mentioned as the method used. Blood pressure is studied as an outcome, and European ancestry is specified."
Excessive alcohol consumption increases mortality in later life: a genetic analysis of the health in men cohort study,-3,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation and European ancestry are absent, and blood pressure is present but not as the main outcome."
Deciphering the Plasma Proteome of Type 2 Diabetes,0,Excluded,"BMI is present but not as the main exposure, it's adjusted for in models. Mendelian randomisation is present and discussed. Hypertension is mentioned as a covariate, not the main outcome. European ancestry is indicated by the cohorts used (KORA, Nord-Trondelag)."
New strategies for the development of lipid-lowering therapies to reduce cardiovascular risk,-1,Excluded,"BMI/adiposity terms are absent, not studied as an exposure. Mendelian randomisation is present in the abstract. Blood pressure terms are present and studied as an outcome. European ancestry is mentioned in the context of the European Society of Cardiology."
Genetically modulated educational attainment and coronary disease risk,0,Excluded,"BMI is present but not as a main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present and studied as an outcome, scoring +1. European ancestry is indicated by 'UK Biobank', scoring +1."
Cardiometabolic risks of SARS-CoV-2 hospitalization using Mendelian Randomization,1,Excluded,"BMI is studied as a main exposure for blood pressure, which is not the main outcome. Mendelian randomization is present, and European ancestry is mentioned."
Causal association between adiposity and cardiovascular disease,-3,Excluded,"Adiposity is present in the title and is the main exposure variable. No mention of Mendelian randomisation, blood pressure terms, or European ancestry, leading to deductions in those categories."
Mendelian randomization provides support for obesity as a risk factor for meningioma,-1,Excluded,"BMI/adiposity is studied as a main exposure for meningioma risk, earning +1. Mendelian randomisation is present in both title and abstract, earning +1. Blood pressure terms are present but not as the main outcome, resulting in -1. No European ancestry terms are mentioned, resulting in -2."
Semiparametric methods for estimation of a nonlinear exposure-outcome relationship using instrumental variables with application to Mendelian randomization,0,Excluded,BMI is studied as the main exposure for blood pressure outcomes. Mendelian randomisation is present in both title and abstract. Blood pressure terms are present and studied as outcomes. No European ancestry terms are found.
Midlife vascular risk factors and risk of incident dementia: Longitudinal cohort and Mendelian randomization analyses in the UK Biobank,0,Excluded,"BMI/adiposity is present but not as the main exposure, thus -1. Mendelian randomisation is present, thus +1. Blood pressure terms are present as main outcome, thus +1. European ancestry is indicated by 'UK Biobank', thus +1."
Contribution of genetics to visceral adiposity and its relation to cardiovascular and metabolic disease,2,Excluded,"BMI/adiposity is the main exposure studied for its effects on diseases, including blood pressure-related outcomes. Mendelian randomisation is present and used to establish causality. Blood pressure terms are present and studied as outcomes. European ancestry is mentioned, but only in a specific subgroup context, not broadly, hence the negative score."
Causal inference for heritable phenotypic risk factors using heterogeneous genetic instruments,-2,Excluded,"BMI/adiposity is present but not as the main exposure, thus -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as outcomes, scoring +1. No European ancestry terms are present, scoring -2."
"Urinary Albumin, Sodium, and Potassium and Cardiovascular Outcomes in the UK Biobank: Observational and Mendelian Randomization Analyses",0,Excluded,"Adiposity is mentioned but not as the main exposure, hence -1. Mendelian randomisation is present in both title and abstract, scoring +1. Blood pressure terms are present and studied as outcomes, scoring +1. European ancestry is indicated by 'UK Biobank', scoring +1."
Associations between Potentially Modifiable Risk Factors and Alzheimer Disease: A Mendelian Randomization Study,-2,Excluded,"BMI is present but not as a main exposure, Mendelian randomisation is present, blood pressure terms are present as an outcome, and no European ancestry terms are found."
Duration of obesity exposure between ages 10 and 40 years and its relationship with cardiometabolic disease risk factors: A cohort study,2,Excluded,"BMI is studied as a main exposure variable in relation to cardiometabolic disease risk factors. Mendelian randomisation is mentioned as a method for further study. Blood pressure terms are present but not as the main outcome. European ancestry is mentioned, but the term 'white British' may not fully align with the broader categories specified."
Assessment of causality between modifiable factors and heart failure: A Mendelian randomization analysis,-2,Excluded,Adiposity is mentioned but not as a main exposure; Mendelian randomisation is present in both title and abstract; Systolic blood pressure is mentioned as an outcome; No European ancestry or related terms are mentioned.
The causal effect of vitamin D binding protein (DBP) levels on calcemic and cardiometabolic diseases: a Mendelian randomization study,-1,Excluded,"BMI/adiposity is mentioned but not as a main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as an outcome, scoring +1. European ancestry is not mentioned, scoring -2."
Mendelian randomization studies in coronary artery disease,0,Excluded,"BMI/adiposity is present as 'obesity' but not as the main exposure, hence -1. Mendelian randomisation is clearly present in both title and abstract, scoring +1. Blood pressure term 'hypertension' is present as an outcome, scoring +1. European ancestry is indicated by 'European Society of Cardiology', scoring +1."
Diabetes and branched-chain amino acids: What is the link?,0,Excluded,"BMI/adiposity is present but not as the main exposure, hence -1. Mendelian randomisation is present, scoring +1. Blood pressure terms are present as an outcome, scoring +1. European ancestry is mentioned, scoring +1. Total score is 0."
Feasibility of a Risk-Based Approach to Cataract Surgery Preoperative Medical Evaluation,-6,Excluded,"No terms related to BMI/adiposity, Mendelian randomisation, blood pressure, or European ancestry were mentioned in the title or abstract. BMI/adiposity is not studied as an exposure, blood pressure terms are not studied as an outcome, and no relevant ancestry information is provided."
The causal effects of health conditions and risk factors on social and socioeconomic outcomes: Mendelian randomization in UK Biobank,2,Excluded,"BMI is studied as a main exposure affecting socioeconomic outcomes. Mendelian randomisation is present in both title and abstract. Systolic blood pressure is mentioned but not as a main outcome. European ancestry is specified, but the term 'White British ancestry' may not fully align with broader European/white/Caucasian ancestry categories."
