title,score.value,decision,score.justification
Mendelian Randomization Study of Obesity and Cerebrovascular Disease,-2,Excluded,"Only two term categories (bmi_adiposity and mendelian_randomisation) were present, resulting in a score of -2."
Detecting and correcting for bias in Mendelian randomization analyses using Gene-by-Environment interactions,4,Excluded,"All four term categories are present in the document, with each term found in the abstract or title, thus achieving the maximum relevance score."
Comorbidities in gout and hyperuricemia: causality or epiphenomena?,3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry."
Body mass index and body composition in relation to 14 cardiovascular conditions in UK Biobank: a Mendelian randomization study,3,Excluded,"Three out of the four term categories are present in the document, hence the score is 3."
Vitamin D and heart failure: A two-sample mendelian randomization study,3,Excluded,"Three out of the four term categories were present in the document, leading to a score of 3."
Association of genetically predicted blood sucrose with coronary heart disease and its risk factors in Mendelian randomization,3,Excluded,"Three out of the four term categories were present in the document, but there was no mention of European or white ancestry."
A genetic risk score for fasting plasma glucose is independently associated with arterial stiffness: a Mendelian randomization study,0,Excluded,"Only two term categories (Mendelian randomisation and cardiovascular disease) were present, resulting in a score of 0."
Nonalcoholic fatty liver disease or metabolic dysfunction-associated fatty liver disease diagnoses and cardiovascular diseases: From epidemiology to drug approaches,3,Excluded,"Three out of the four term categories are present in the document, hence a score of 3 is assigned."
Alcohol consumption and cognitive impairment in older men: a mendelian randomization study,3,Excluded,"Three out of the four term categories are present, hence a score of 3."
Risk factors for type 2 diabetes mellitus: An exposure-wide umbrella review of meta-analyses,3,Excluded,"Three out of four term categories are present, missing only the European ancestry category."
"Cardiometabolic, Lifestyle, and Nutritional Factors in Relation to Varicose Veins: A Mendelian Randomization Study",4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Type 2 diabetes mellitus increases risk of erectile dysfunction independent of obesity and dyslipidemia: A Mendelian randomization study,3,Excluded,"Three out of the four term categories were present in the document, hence a score of 3."
Influence of puberty timing on adiposity and cardiometabolic traits: A Mendelian randomisation study,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Excessive alcohol consumption increases mortality in later life: a genetic analysis of the health in men cohort study,0,Excluded,"Two term categories (bmi_adiposity and cardiovascular) were identified in the abstract, while mendelian_randomisation and european_ancestry were not found in either the title or abstract."
Deciphering the Plasma Proteome of Type 2 Diabetes,3,Excluded,"Three out of four term categories are present, hence the score is 3."
New strategies for the development of lipid-lowering therapies to reduce cardiovascular risk,3,Excluded,"Three of the four term categories are present, resulting in a score of 3."
Genetically modulated educational attainment and coronary disease risk,4,Excluded,"All four term categories are present in the abstract, thus achieving the highest relevance score."
Cardiometabolic risks of SARS-CoV-2 hospitalization using Mendelian Randomization,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Causal association between adiposity and cardiovascular disease,0,Excluded,"Two term categories (adiposity and cardiovascular disease) are present, but Mendelian randomisation and European ancestry are absent."
Mendelian randomization provides support for obesity as a risk factor for meningioma,3,Excluded,"Three out of four term categories are present, but there is no mention of European or white ancestry."
Semiparametric methods for estimation of a nonlinear exposure-outcome relationship using instrumental variables with application to Mendelian randomization,3,Excluded,"Three out of the four term categories are present in the document, hence a score of 3."
Midlife vascular risk factors and risk of incident dementia: Longitudinal cohort and Mendelian randomization analyses in the UK Biobank,3,Excluded,"Three of the four term categories were present in the document, but there was no mention of European or white ancestry, resulting in a score of 3."
Contribution of genetics to visceral adiposity and its relation to cardiovascular and metabolic disease,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Causal inference for heritable phenotypic risk factors using heterogeneous genetic instruments,3,Excluded,"Three out of the four term categories are present in the abstract, but there is no mention of European or white ancestry."
"Urinary Albumin, Sodium, and Potassium and Cardiovascular Outcomes in the UK Biobank: Observational and Mendelian Randomization Analyses",4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
Associations between Potentially Modifiable Risk Factors and Alzheimer Disease: A Mendelian Randomization Study,3,Excluded,"Three of the four term categories are present (BMI/adiposity, Mendelian randomisation, and cardiovascular disease terms), but there is no mention of European or white ancestry, leading to a score of 3."
Duration of obesity exposure between ages 10 and 40 years and its relationship with cardiometabolic disease risk factors: A cohort study,4,Excluded,"All four term categories are present in the abstract, thus achieving the highest relevance score."
Assessment of causality between modifiable factors and heart failure: A Mendelian randomization analysis,3,Excluded,"Three out of the four term categories are present, hence a score of 3 is assigned."
The causal effect of vitamin D binding protein (DBP) levels on calcemic and cardiometabolic diseases: a Mendelian randomization study,3,Excluded,"Three out of four term categories are present, but there is no mention of European or white or Caucasian ancestry."
Mendelian randomization studies in coronary artery disease,3,Excluded,"Three out of the four term categories are present, resulting in a score of 3."
Diabetes and branched-chain amino acids: What is the link?,4,Excluded,"All four term categories are present in the abstract, thus achieving the highest relevance score."
Feasibility of a Risk-Based Approach to Cataract Surgery Preoperative Medical Evaluation,-4,Excluded,"None of the specified terms related to BMI/adiposity, Mendelian randomisation, cardiovascular disease, or European ancestry were found in the title or abstract."
The causal effects of health conditions and risk factors on social and socioeconomic outcomes: Mendelian randomization in UK Biobank,4,Excluded,"All four term categories are present in the document, thus achieving the highest relevance score."
